λ,Curve-1_E
529.454,8199.06
529.539,8048.51
529.623,7969.39
529.707,7936.63
529.792,7798.06
529.876,7627.81
529.96,7415.88
530.045,7359.61
530.129,7228.48
530.213,7075.74
530.298,7028.38
530.382,7023.87
530.466,6915.24
530.551,6745.71
530.635,6748.34
530.719,6515.42
530.804,6386.12
530.888,6378.16
530.972,6341.48
531.057,6270.36
531.141,6187.54
531.225,6129.78
531.31,6036.87
531.394,5981.87
531.478,5902.66
531.563,5850.84
531.647,5766.69
531.731,5719.18
531.816,5625.35
531.9,5597.96
531.984,5522.09
532.068,5487.35
532.153,5365.09
532.237,5366.22
532.321,5300.66
532.406,5317.54
532.49,5214.69
532.574,5054.53
532.659,5074.37
532.743,5038.81
532.827,4943.59
532.911,4952.06
532.996,4870.58
533.08,4833.67
533.164,4857.39
533.249,4861.89
