λ,alta_E,bassa-esp_E,Raw_E
443.583,220.044,42.5853,31.3539
443.669,285.56,54.377,19.3196
443.755,320.867,61.0138,49.9844
443.841,323.533,76.4504,19.6088
443.927,356.965,28.6369,5.25483
444.013,352.084,72.1546,30.1374
444.099,312.783,67.7964,21.4204
444.185,319.672,68.7604,27.7628
444.271,238.032,46.5088,35.6894
444.357,208.415,36.5144,35.5629
444.443,186.586,54.3984,44.864
444.529,167.085,23.5131,28.0938
444.615,151.569,30.7293,26.7767
444.701,158.135,24.4447,15.0477
444.787,195.385,38.0089,26.9021
444.873,193.653,10.4166,18.6165
444.959,190.846,29.0155,40.9313
445.045,181.262,43.2593,25.8863
445.131,231.262,49.3569,42.2992
445.217,221.308,33.2926,24.6995
445.303,224.974,34.2245,19.9008
445.389,213.242,25.3171,34.3827
445.475,193.455,49.8516,38.8982
445.561,181.658,36.9729,24.6436
445.647,194.073,42.8359,12.756
445.733,176.088,25.6044,29.7237
445.819,183.045,20.1374,15.1083
445.905,209.596,29.668,39.2022
445.991,180.688,20.9381,6.19785
446.077,215.579,26.7848,66.7568
446.163,223.328,36.3824,55.1188
446.249,196.475,36.6787,11.3351
446.335,256.232,56.1149,29.5861
446.421,250.378,54.4939,14.1743
446.507,303.714,63.7074,39.3852
446.593,413.02,79.0001,37.2801
446.679,721.405,152.08,50.2068
446.765,1225.06,308.521,41.5859
446.851,1943.57,477.431,28.01
446.937,2967.55,740.469,38.0936
447.023,3944.23,952.565,16.7139
447.109,5193.77,1263.57,28.7149
447.195,6475.4,1574.66,42.2218
447.281,8061.87,1919.08,30.7053
447.367,9144.52,2179.22,34.2004
447.452,8149.55,2001.39,35.3717
447.538,6138.22,1533.94,15.7923
447.624,4014.53,978.845,21.4749
447.71,1630.52,426.477,49.463
447.796,339.263,78.0655,44.8966
447.882,236.457,42.8396,45.8561
447.968,181.319,34.2376,37.9581
448.054,178.451,31.4238,50.6548
448.14,167.464,25.9421,68.3401
448.226,162.353,32.0593,45.7529
448.312,168.607,20.2742,50.6414
448.398,132.684,7.05712,26.7333
448.484,159.013,9.71356,15.379
448.57,146.317,29.225,35.1785
448.656,143.937,0.0,42.3553
448.742,156.423,25.9126,51.2919
448.827,166.91,28.8266,55.7715
448.913,141.057,14.4638,29.3718
448.999,130.616,14.2843,29.308
449.085,155.253,14.4122,16.8075
449.171,121.489,32.1638,36.5647
449.257,159.615,47.8798,68.1366
449.343,168.456,29.5774,42.2984
449.429,176.677,19.6978,25.6707
449.515,171.465,28.9446,3.25573
449.601,166.009,34.0604,30.8406
449.687,155.775,22.4383,12.6874
449.773,161.904,26.9542,36.839
449.858,150.444,16.2189,26.7444
449.944,149.416,29.9436,32.5429
450.03,158.671,30.5342,37.156
450.116,165.671,25.5442,28.0447
450.202,150.123,26.0659,54.2755
450.288,162.826,17.174,7.17728
450.374,163.935,40.221,22.2129
450.46,181.579,15.5129,32.7567
450.546,183.983,18.2601,35.7068
450.632,170.122,26.7722,11.1969
450.717,180.541,25.2759,23.8004
450.803,185.486,31.8624,29.564
450.889,200.786,35.8143,56.6058
450.975,171.981,10.9661,1.3137
451.061,168.046,28.8614,32.6045
451.147,174.533,24.1575,21.0689
451.233,186.837,29.7126,27.638
451.319,184.878,47.4844,14.7567
451.404,167.701,15.4707,22.9754
451.49,173.538,11.892,36.7308
451.576,151.582,18.0615,32.2509
451.662,182.158,39.1278,28.6935
451.748,149.216,11.7104,31.2504
451.834,146.59,19.941,11.4209
451.92,168.122,14.5747,31.8606
452.006,185.46,27.5368,42.6452
452.091,190.951,11.4134,44.5869
452.177,176.483,36.211,42.6792
452.263,189.248,15.7103,37.6956
452.349,159.362,40.4475,33.478
452.435,210.7,30.7413,49.0439
452.521,169.355,30.0063,14.7991
452.607,172.244,25.5103,12.7727
452.692,167.372,36.6007,27.8346
452.778,231.306,40.2244,63.6421
452.864,203.362,21.0835,22.0449
452.95,196.514,26.2702,25.8467
453.036,189.023,18.6306,22.1788
453.122,181.399,8.39961,29.3007
453.207,155.112,27.9316,28.6811
453.293,164.675,21.5072,27.322
453.379,191.653,34.2387,26.7204
453.465,193.121,7.22838,18.0844
453.551,178.344,26.7795,9.86084
453.637,179.864,45.9627,31.5886
453.722,174.975,21.4446,32.4338
453.808,191.039,13.6404,21.4639
453.894,178.979,46.8072,14.0462
453.98,185.428,39.9369,30.5989
454.066,219.993,26.9906,20.6533
454.152,209.855,48.8851,29.9037
454.237,245.905,54.6918,39.1925
454.323,212.556,51.3404,35.0621
454.409,240.076,63.4847,35.2757
454.495,223.809,50.0829,9.45096
454.581,274.732,59.7942,34.4329
454.666,286.517,71.2611,16.9993
454.752,301.285,81.5662,50.3356
454.838,262.543,69.436,52.8271
454.924,262.757,68.5816,13.9925
455.01,273.402,32.7632,10.1647
455.096,272.015,55.7404,21.0658
455.181,239.242,42.0249,11.2309
455.267,243.298,58.5346,36.8587
455.353,234.83,49.0906,34.6712
455.439,230.871,60.3792,35.0815
455.525,239.53,62.4134,16.9798
455.61,228.258,43.5762,19.6342
455.696,232.958,31.2976,24.8801
455.782,234.91,40.8218,17.0021
455.868,206.756,40.6657,23.255
455.953,210.951,49.9317,13.2501
456.039,223.594,45.5217,23.9815
456.125,229.376,57.5971,27.5791
456.211,232.526,31.6622,41.3787
456.297,207.536,45.67,27.0378
456.382,206.275,38.5626,41.3417
456.468,195.863,40.585,29.5649
456.554,220.897,30.4586,36.3036
456.64,253.43,45.3109,36.341
456.725,279.316,61.8658,48.8473
456.811,272.627,56.6681,20.3125
456.897,296.217,59.6273,28.3383
456.983,352.794,93.0846,49.9619
457.069,326.595,82.1833,50.2512
457.154,359.271,74.4746,40.0559
457.24,355.199,73.5743,67.1133
457.326,328.607,62.2575,47.8942
457.412,345.018,107.115,11.8763
457.497,358.324,95.8621,27.6399
457.583,315.236,53.345,42.7149
457.669,315.827,73.2966,45.2174
457.755,277.96,83.5267,14.4504
457.84,280.37,78.5973,23.9597
457.926,289.769,77.4414,34.9967
458.012,291.053,84.6436,49.3888
458.098,252.475,51.4625,26.1016
458.183,276.854,35.1668,37.6471
458.269,261.338,49.7511,58.9946
458.355,257.531,63.4881,40.9887
458.441,235.465,56.5471,39.1293
458.526,212.457,57.377,0.556511
458.612,217.575,49.2096,24.5166
458.698,229.629,42.5718,26.7397
458.784,232.771,43.664,40.5311
458.869,229.923,49.1784,40.1409
458.955,208.096,45.1561,27.0525
459.041,212.049,53.2035,36.7393
459.126,226.753,43.0246,38.0637
459.212,208.404,45.4726,30.6368
459.298,213.115,47.1166,10.4988
459.384,229.488,41.0975,18.6802
459.469,215.365,16.6151,47.1548
459.555,188.511,27.4693,22.2124
459.641,206.022,40.4197,34.2627
459.726,192.751,36.8002,43.3826
459.812,181.732,33.6344,27.1756
459.898,187.189,27.972,50.6553
459.984,193.192,40.9968,28.8047
460.069,194.639,21.3931,32.1636
460.155,149.487,14.6366,6.94522
460.241,199.711,44.255,33.413
460.326,207.118,30.7229,30.9889
460.412,188.306,22.0749,25.5574
460.498,174.754,15.9666,7.63652
460.584,205.958,40.0425,52.2204
460.669,189.801,56.7482,30.3296
460.755,179.744,31.7849,0.0
